country,index
Argentina,0
Australia,1
Bahamas,2
Belgium,3
Bermuda,4
Brazil,5
Canada,6
Cayman Islands,7
Chile,8
China,9
Colombia,10
Costa Rica,11
Curacao,12
Cyprus,13
Denmark,14
Finland,15
France,16
Germany,17
Gibraltar,18
Greece,19
Guernsey,20
Hong Kong,21
India,22
Indonesia,23
Ireland,24
Isle of Man,25
Israel,26
Italy,27
Japan,28
Jersey,29
Jordan,30
Kazakhstan,31
Luxembourg,32
Macau,33
Malaysia,34
Malta,35
Mexico,36
Monaco,37
Netherlands,38
New Zealand,39
Norway,40
Panama,41
Peru,42
Philippines,43
Puerto Rico,44
Singapore,45
South Africa,46
South Korea,47
Spain,48
Sweden,49
Switzerland,50
Taiwan,51
Thailand,52
Turkey,53
United Arab Emirates,54
United Kingdom,55
United States,56
Uruguay,57
None,58
