Symbol,Name,Market Cap,Country,IPO Year,Volume,Sector,Industry
A,Agilent Technologies Inc. Common Stock,35778872834.0,United States,1999.0,3941294,Industrials,Electrical Products
AA,Alcoa Corporation Common Stock ,6354660967.0,None,2016.0,5811889,Industrials,Aluminum
AAC,Ares Acquisition Corporation Class A Ordinary Shares,755969351.0,None,2021.0,32767,Industrials,Metal Fabrications
AACG,ATA Creativity Global American Depositary Shares,44587260.0,China,2008.0,7494,Consumer Discretionary,Educational Services
AACI,Armada Acquisition Corp. I Common Stock,0.0,United States,2021.0,10,Finance,Blank Checks
AACIU,Armada Acquisition Corp. I Unit,0.0,United States,2021.0,5,Finance,Blank Checks
AACIW,Armada Acquisition Corp. I Warrant,0.0,United States,2021.0,40,Finance,Blank Checks
AACT,Ares Acquisition Corporation II Class A Ordinary Shares,0.0,None,2023.0,250958,None,None
AADI,Aadi Bioscience Inc. Common Stock,198672729.0,United States,None,257653,Health Care,Biotechnology: Pharmaceutical Preparations
AAIC,Arlington Asset Investment Corp Class A (new),119397482.0,United States,None,1462764,Real Estate,Real Estate Investment Trusts
AAIC^B,Arlington Asset Investment Corp 7.00% ,None,United States,None,133,None,None
AAIC^C,Arlington Asset Investment Corp 8.250% Seies C Fixed-to-Floating Rate Cumulative Redeemable Preferred Stock   ,None,United States,None,269,None,None
AAIN,Arlington Asset Investment Corp 6.000% Senior Notes Due 2026,669309385.0,United States,None,1175,Real Estate,Real Estate Investment Trusts
AAL,American Airlines Group Inc. Common Stock,10759174132.0,United States,None,22636024,Consumer Discretionary,Air Freight/Delivery Services
AAM^A,Apollo Asset Management Inc. 6.375% Series A Preferred Stock,None,United States,None,154429,None,None
AAM^B,Apollo Asset Management Inc. 6.375% Series B Preferred Stock,None,United States,None,140721,None,None
AAMC,Altisource Asset Management Corp Com,107457107.0,United States,None,19903,Finance,Real Estate
AAME,Atlantic American Corporation Common Stock,45622593.0,United States,None,572,Finance,Life Insurance
AAN,Aarons Holdings Company Inc. Common Stock ,411704031.0,None,2020.0,2026082,Consumer Discretionary,Diversified Commercial Services
AAOI,Applied Optoelectronics Inc. Common Stock,141599058.0,United States,2013.0,3897535,Technology,Semiconductors
AAON,AAON Inc. Common Stock,5197409905.0,United States,None,568502,Industrials,Industrial Machinery/Components
AAP,Advance Auto Parts Inc.,4114703435.0,United States,None,4971232,Consumer Discretionary,Auto & Home Supply Stores
AAPL,Apple Inc. Common Stock,2908551573840.0,United States,1980.0,101236522,Technology,Computer Manufacturing
AAT,American Assets Trust Inc. Common Stock,1196121354.0,United States,2011.0,763606,Real Estate,Real Estate Investment Trusts
AAU,Almaden Minerals Ltd. Common Shares,17646673.0,Canada,2015.0,166522,None,None
AB,AllianceBernstein Holding L.P.  Units,3796914288.0,United States,None,309237,Finance,Investment Managers
ABBV,AbbVie Inc. Common Stock,244601121235.0,United States,2012.0,14614985,Health Care,Biotechnology: Pharmaceutical Preparations
ABC,AmerisourceBergen Corporation Common Stock,37053303392.0,United States,None,2001124,Health Care,Other Pharmaceuticals
ABCB,Ameris Bancorp Common Stock,2450284841.0,United States,1994.0,1023159,Finance,Major Banks
