ticker,index
A,0
AA,1
AACG,3
AADI,8
AAIC,9
AAL,11
AAME,13
AAOI,15
AAON,16
AAP,17
AAPL,18
AAT,19
AAU,20
AB,21
ABBV,22
ABC,23
ABCB,24
ABEO,27
ABEV,28
ABG,29
ABIO,30
ABM,31
ABR,34
ABST,36
ABT,37
ABUS,38
ABVC,39
AC,40
ACA,41
ACAD,46
ACB,53
ACCO,58
ACEL,61
ACER,62
ACET,63
ACGL,64
ACGLO,66
ACGN,67
ACHC,68
ACHV,71
ACIU,73
ACIW,74
ACLS,75
ACM,77
ACMR,78
ACN,79
ACNB,80
ACNT,81
ACOR,84
ACP,85
ACR,86
ACRE,87
ACRS,89
ACRX,91
ACST,92
ACTG,94
ACU,95
ACV,96
ADAP,100
ADBE,101
ADC,102
ADD,104
ADEA,105
ADES,108
ADI,110
ADIL,111
ADM,113
ADMA,114
ADMP,115
ADN,116
ADNT,117
ADP,122
ADPT,123
ADSK,127
ADT,128
ADTN,131
ADUS,133
ADVM,135
ADX,137
AE,139
AEE,142
AEF,143
AEG,145
AEHL,146
AEHR,147
AEIS,149
AEL,150
AEM,151
AEMD,152
AENZ,153
AEO,154
AEP,155
AER,157
AES,158
AEY,162
AEYE,163
AEZS,164
AFB,167
AFBI,168
AFG,170
AFL,176
AFMD,177
AFT,181
AG,184
AGAE,186
AGCO,189
AGD,190
AGE,191
AGEN,192
AGI,194
AGIO,197
AGLE,199
AGM,200
AGMH,201
AGNC,202
AGNCM,204
AGNCN,205
AGO,208
AGR,209
AGRO,212
AGRX,213
AGS,214
AGX,216
AGYS,217
AHCO,218
AHG,219
AHH,220
AHT,225
AIC,230
AIF,231
AIG,232
AIHS,234
AIM,235
AIN,239
AINC,240
AIR,243
AIRG,245
AIRI,246
AIRT,248
AIRTP,249
AIT,250
AIU,251
AIV,252
AIZ,254
AJG,256
AJRD,257
AJX,258
AJXA,259
AKAM,261
AKBA,263
AKR,265
AKRO,266
AKTS,267
AKTX,268
AL,271
ALAR,272
ALB,273
ALBT,274
ALC,275
ALCO,277
ALDX,279
ALE,280
ALEC,281
ALEX,282
ALG,283
ALGN,285
ALGT,287
ALK,291
ALKS,292
ALL,294
ALLE,295
ALLK,297
ALLO,298
ALLT,300
ALLY,301
ALNY,302
ALOT,305
ALPN,308
ALPP,309
ALRM,311
ALRN,312
ALRS,313
ALSN,317
ALT,318
ALTG,319
ALTO,322
ALTR,323
ALV,326
ALX,330
ALYA,332
AM,334
AMAL,335
AMAT,339
AMBA,340
AMBC,341
AMBO,343
AMC,345
AMCR,346
AMCX,347
AMD,348
AME,349
AMED,350
AMEH,351
AMG,352
AMGN,353
AMH,354
AMKR,356
AMLI,357
AMN,359
AMNB,360
AMOT,361
AMP,362
AMPE,363
AMPH,366
AMPY,370
AMRC,372
AMRK,373
AMRN,374
AMRS,375
AMRX,376
AMS,377
AMSC,378
AMSF,379
AMSWA,381
AMT,382
AMTB,383
AMTX,386
AMWD,387
AMX,389
AMZN,390
AN,391
ANAB,392
ANDE,393
ANET,395
ANF,396
ANGI,399
ANGO,400
ANIK,401
ANIP,402
ANIX,403
ANSS,405
ANTE,406
ANY,409
AOD,412
AON,417
AORT,418
AOS,419
AOSL,420
AP,422
APA,423
APAM,426
APCX,428
APD,430
APDN,431
APEI,433
APH,438
APLE,441
APLS,444
APLT,445
APM,446
APO,449
APOG,450
APPF,452
APPN,455
APPS,456
APRN,458
APT,459
APTO,463
APTV,464
APVO,465
APWC,466
APYX,469
AQB,470
AQMS,471
AQN,472
AQNA,473
AQNB,474
AQST,476
AR,480
ARAV,481
ARAY,482
ARC,491
ARCB,492
ARCC,493
ARCE,494
ARCH,495
ARCO,496
ARCT,497
ARDC,498
ARDS,499
ARDX,500
ARE,501
AREC,504
AREN,505
ARES,506
ARGD,507
ARGO,508
ARGX,509
ARI,511
ARKR,518
ARL,519
ARLO,520
ARLP,521
ARMK,522
ARMP,523
AROC,525
AROW,526
ARR,530
ARTL,538
ARTNA,540
ARTW,541
ARVN,543
ARW,544
ARWR,545
ASA,548
ASB,551
ASC,553
ASG,557
ASGN,559
ASH,560
ASIX,561
ASLE,562
ASLN,563
ASM,564
ASMB,565
ASML,566
ASND,567
ASPN,572
ASPS,573
ASR,574
ASRT,575
ASRV,576
ASTC,578
ASTE,579
ASUR,586
ASX,587
ASXC,588
ASYS,589
ATEC,595
ATEN,597
ATER,598
ATEX,599
ATGE,600
ATHE,602
ATHM,603
ATHX,604
ATI,605
ATIF,606
ATKR,608
ATLC,609
ATLO,612
ATNF,620
ATNI,622
ATNM,623
ATO,624
ATOM,625
ATOS,626
ATR,627
ATRA,628
ATRC,629
ATRI,630
ATRO,631
ATS,632
ATSG,633
ATTO,634
ATUS,635
ATVI,636
